de;ru;pt;ko;zhs;zht;en;it;fr;es;ja
Venser;Венсер;Venser;UNKNOWN;凡瑟;凡瑟;Venser;Venser;Venser;Venser;ヴェンセール
Ratte;Крыса;Rato;쥐;老鼠;老鼠;Rat;Ratto;Rat;Rata;ネズミ
Schlachtschiff;UNKNOWN;Couraçado;UNKNOWN;无畏舰;UNKNOWN;Dreadnought;Sterminatore;Cuirassé;Acorazado;ドレッドノート
Sumpf;Болото;Pântano;늪;沼泽;沼澤;Swamp;Palude;Marais;Pantano;沼
Kasmina;Касмина;Kasmina;카스미나;克蜜娜;克蜜娜;Kasmina;Kasmina;Kasmina;Kasmina;カズミナ
Elementarwesen;Элементаль;Elemental;정령;元素;元素;Elemental;Elementale;Élémental;Elemental;エレメンタル
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Blinkmoth;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Rabiah;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Rabiah;Rabiah;Rabiah;Rabiah;ラバイア
Golem;Голем;Golem;골렘;魔像;魔像;Golem;Golem;Golem;Gólem;ゴーレム
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Sphere;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Buschköter;Брушвагг;Tojo;브러시와그;丛枝兽;叢枝獸;Brushwagg;Burlarbusto;Bosquérisson;Yerbamala;ブラッシュワグ
Engel;Ангел;Anjo;천사;天使;天使;Angel;Angelo;Ange;Ángel;天使
Myr;Миэр;Myr;미르;秘耳;秘耳;Myr;Myr;Myr;Myr;マイア
Kithkin;Кискен;UNKNOWN;키스킨;洁英;潔英;Kithkin;UNKNOWN;Sangami;UNKNOWN;キスキン
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Employee;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Serf;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Teufel;Дьявол;Diabo;악령;魔鬼;魔鬼;Devil;Diavolo;Diable;Diablo;悪魔
Lorwyn;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Lorwyn;Lorwyn;Lorwyn;Lorwyn;ローウィン
Bolas’ Meditationsreich;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Bolas’s Meditation Realm;Reame della Meditazione di Bolas;Royaume de méditation de Bolas;Reino de Meditación de Nicol Bolas;ボーラスの・瞑想・領土
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Inquisitor;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Zephalid;Цефалид;Cefálida;세팔리드;章人;鱆人;Cephalid;Cefalide;Céphalide;Cefálido;セファリッド
Kobold;Кобольд;Kobold;코볼드;鬼崽;鬼崽;Kobold;Coboldo;Kobold;Kóbold;コボルド
Drache;Дракон;Dragão;용의;龙;龍;Dragon;Drago;Dragon;Dragón;ドラゴン
Teferi;Тефери;Teferi;테페리;泰菲力;泰菲力;Teferi;Teferi;Téfeiri;Teferi;テフェリー
UNKNOWN;Азра;UNKNOWN;아즈라;亚札人;亞札人;Azra;UNKNOWN;UNKNOWN;UNKNOWN;アズラ
Bergwerk;Шахта;Mina;UNKNOWN;矿脉;UNKNOWN;Mine;Miniera;Mine;Mina;鉱山
Niko;Нико;Niko;니코;尼科;尼科;Niko;Niko;Niko;Niko;ニコ
Gott;Бог;Deus;신;神;神;God;Dio;Dieu;Deidad;神
Merkadia;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Mercadia;Mercadia;Mercadia;Mercadia;メルカディア
Speise;Еда;Comida;음식;食品;食品;Food;Cibo;Nourriture;Comida;食物
Dovin;Довин;Dovin;도빈;多温;多溫;Dovin;Dovin;Dovin;Dovin;ドビン
Pegasus;Пегас;Pégaso;페가수스;飞马;飛馬;Pegasus;Pegaso;Pégase;Pegaso;ペガサス
Berater;Советник;Conselheiro;조언자;参谋;參謀;Advisor;Consigliere;Conseiller;Consejero;アドバイザー
UNKNOWN;Доути;UNKNOWN;다우티;UNKNOWN;道西;Dauthi;UNKNOWN;UNKNOWN;Dauti;ダウスィー
Minsc;Минск;Minsc;민스크;明斯克;明斯克;Minsc;Minsc;Minsc;Minsc;ミンスク
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Phelddagrif;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Spruchwandler;Заклинатель;Magimodelador;UNKNOWN;塑法师;塑法師;Spellshaper;Mutamagia;Sortisan;Cambiahechizos;スペルシェイパー
Lammasu;Ламмасу;Lammasu;라마수;拉玛苏;拉瑪蘇;Lammasu;Lammasu;Lamassu;Lammasu;ラマスー
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Fortification;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
